State,EOF,INT,SEMI,COMMA,ID,ASSIGN,INT_NUM,LSQUARE,RSQUARE,LBRACE,RBRACE,IF,LPAR,RPAR,ELSE,WHILE,DO,RETURN,READ,WRITE,OROR,ANDAND,OR_OP,AND_OP,EQ,NOTEQ,LT,GT,LTEQ,GTEQ,SHL_OP,SHR_OP,PLUS,MINUS,MUL_OP,DIV_OP,NOT_OP,$,program,var_declarations,var_declaration,declaration_list,declaration,code_block,statements,statement,control_statement,read_write_statement,assign_statement,if_statement,if_stmt,while_statement,do_while_statement,return_statement,read_statement,write_statement,exp,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,exp10,exp11,
44,,,,,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,s125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,s126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,s127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,s128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,s129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,s106,,s107,,,,,,s108,,,,,,,,,,,,,,,,,,,,,s104,,,s103,,,,,,,,,,,,,,,,,,,,130,93,94,95,96,97,98,99,100,101,102,105,
53,,,,,s106,,s107,,,,,,s108,,,,,,,,,,,,,,,,,,,,,s104,,,s103,,,,,,,,,,,,,,,,,,,,131,93,94,95,96,97,98,99,100,101,102,105,
54,,r3,r3,,r3,,,,,,,r3,,,,r3,r3,r3,r3,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,s27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,s133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,s134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,s135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,r33,,,,,,,,,,,,s136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,r35,,,,,,,,,,,,r35,s137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,r37,,,,,,,,,,,,r37,r37,s138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,r39,,,,,,,,,,,,r39,r39,r39,s139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,r41,,,,,,,,,,,,r41,r41,r41,r41,s140,s141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,r44,,,,,,,,,,,,r44,r44,r44,r44,r44,r44,s142,s143,s144,s145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,r49,,,,,,,,,,,,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,s146,s147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,r52,,,,,,,,,,,,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,s148,s149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,r55,,,,,,,,,,,,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,s150,s151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,r58,,,,,,,,,,,,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,s72,,s73,,,,,,s74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,
70,,,,,s72,,s73,,,,,,s74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,
71,,,,,,,,,r61,,,,,,,,,,,,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
